family,run,dataset,method,variant,seed,rho,sigma,eta_f,task1,task2,payload_mb,residual_mb,wall_seconds,final_frozen,mean_frozen,mean_similarity,mean_retention,mean_budget_utilization,mean_stationarity,min_stationarity,residual_l2_final,jain_participation
component,cwru_no_scheduler_22,cwru,proposed,no_scheduler,22,0.3,0.6,0.0005,0.9830949284785436,0.8907672301690507,13.032,0.36352,7.389822231999915,0.0,0.0,-0.015226123029074872,1.0,0.9523809523809526,0.9783260191964485,0.2427435379438947,0.1406921297311782,0.9929786601530536
component,cwru_no_scheduler_33,cwru,proposed,no_scheduler,33,0.3,0.6,0.0005,0.8582574772431729,0.9115734720416124,13.032,0.36352,7.272858907999762,0.0,0.0,-0.07893385096280321,1.0,0.9523809523809526,1.0973501496036637,0.2028146399728941,0.1689979285001754,0.9922883271366356
component,cwru_no_scheduler_44,cwru,proposed,no_scheduler,44,0.3,0.6,0.0005,0.9310793237971392,0.918075422626788,13.032,0.36352,7.159330803000103,0.0,0.0,-0.04287738041843231,1.0,0.9523809523809526,0.9776217304392856,0.1525609255564054,0.1426233947277069,0.9932556713672593
component,cwru_no_scheduler_55,cwru,proposed,no_scheduler,55,0.3,0.6,0.0005,0.9869960988296488,0.8647594278283485,13.032,0.36352,7.26256451900008,0.0,0.0,-0.039620674732220314,1.0,0.9523809523809526,0.9886398664301975,0.1827821649921637,0.1315764933824539,0.990871140878022
component,intel_sensor_no_scheduler_11,intel_sensor,proposed,no_scheduler,11,0.3,0.6,0.0005,0.2352126091718673,0.0298446770757436,3.2688,0.060736,30.869898703000217,0.0,0.0,-0.042476369097513234,1.0,0.9523809523809526,0.6793201101225212,0.0494611380438244,0.0520701706409454,0.99610427920557
component,intel_sensor_no_scheduler_22,intel_sensor,proposed,no_scheduler,22,0.3,0.6,0.0005,0.2660516500473022,0.0377200506627559,3.2688,0.060736,31.050592956999935,0.0,0.0,0.003971777620164142,1.0,0.9523809523809526,0.7760144896588541,0.0886894705080465,0.0550125166773796,0.9963471882482694
component,intel_sensor_no_scheduler_33,intel_sensor,proposed,no_scheduler,33,0.3,0.6,0.0005,0.2546297311782837,0.0367316417396068,3.2688,0.060736,30.218159726000067,0.0,0.0,-0.006879832967506565,1.0,0.9523809523809526,0.8110404426571792,0.0252507267379961,0.042561862617731,0.9951974046234598
component,intel_sensor_no_scheduler_44,intel_sensor,proposed,no_scheduler,44,0.3,0.6,0.0005,0.1863825470209121,0.0462712123990058,3.2688,0.060736,30.781666790000145,0.0,0.0,-0.028444744879782675,1.0,0.9523809523809526,1.0665352599434206,0.0869645016250359,0.055545799434185,0.9963989710642971
component,intel_sensor_no_scheduler_55,intel_sensor,proposed,no_scheduler,55,0.3,0.6,0.0005,0.2389956265687942,0.0528369322419166,3.2688,0.060736,30.369176759999846,0.0,0.0,0.0038691937623539026,1.0,0.9523809523809526,0.9151007778333735,0.0471216754660185,0.0626621693372726,0.9964109217093183
component,uci_har_no_scheduler_11,uci_har,proposed,no_scheduler,11,0.3,0.6,0.0005,0.8703766542246352,0.999660671869698,226.9008,5.84192,31.846249279999938,0.0,0.0,-0.09552835279014175,1.0,0.9523809523809526,2.276767429735261,0.5692013912094493,0.193007618188858,0.9917841094146025
component,uci_har_no_scheduler_22,uci_har,proposed,no_scheduler,22,0.3,0.6,0.0005,0.8632507634882932,0.999321343739396,226.9008,5.84192,31.43056842599981,0.0,0.0,-0.025574709709228455,1.0,0.9523809523809526,2.383586500646393,0.5166304208055226,0.2625505924224853,0.9910529938059188
